window_start,score,flag,split
0,14.563907623291016,0,train
300,14.460824966430664,0,train
600,16.161142349243164,0,train
900,17.197105407714844,0,train
1200,18.541112899780273,0,train
1500,17.60946273803711,0,train
1800,16.260988235473633,0,train
2100,18.458101272583008,0,train
2400,6.617704391479492,0,train
2700,8.770478248596191,0,train
3000,12.29296588897705,0,train
3300,8.340134620666504,0,train
3600,13.943357467651367,0,train
3900,14.774670600891113,0,train
4200,15.866777420043945,0,train
4500,17.48475456237793,0,train
4800,18.092792510986328,0,train
5100,16.57839584350586,0,train
5400,17.292720794677734,0,train
5700,18.25094985961914,0,train
6000,50.770538330078125,1,train
6300,7.784421920776367,0,train
6600,10.111509323120117,0,train
6900,8.687187194824219,0,train
7200,14.390863418579102,0,train
7500,14.527372360229492,0,train
7800,16.4377384185791,0,train
8100,16.478811264038086,0,train
8400,17.79180335998535,0,train
8700,16.565744400024414,0,train
9000,17.349109649658203,0,train
9300,18.6275691986084,0,train
9600,6.151339054107666,0,train
9900,10.278003692626953,0,train
10200,7.383764266967773,0,train
10500,14.612020492553711,0,train
10800,11.15088939666748,0,train
11100,17.477548599243164,0,train
11400,15.971301078796387,0,train
11700,16.943979263305664,0,train
12000,17.4988956451416,0,train
12300,16.730430603027344,0,train
12600,17.323333740234375,0,train
12900,17.728927612304688,0,train
13200,7.958651542663574,0,train
13500,5.964921474456787,0,train
13800,6.793685436248779,0,train
14100,8.289525032043457,0,train
14400,13.472923278808594,0,train
14700,13.12036418914795,0,train
15000,15.273368835449219,0,train
15300,16.06707191467285,0,train
15600,17.57712745666504,0,train
15900,15.981685638427734,0,train
16200,16.355369567871094,0,train
16500,17.242177963256836,0,train
16800,6.471948146820068,0,train
17100,8.363468170166016,0,train
17400,7.697909832000732,0,train
17700,10.722884178161621,0,train
18000,14.780967712402344,0,train
18300,14.324621200561523,0,train
18600,15.191975593566895,0,train
18900,17.22225570678711,0,train
19200,17.69829559326172,0,train
19500,16.089168548583984,0,train
19800,15.689936637878418,0,train
20100,15.00698471069336,0,train
20400,8.199374198913574,0,train
20700,8.96596908569336,0,train
21000,3.5627646446228027,0,train
21300,11.643627166748047,0,train
21600,9.610459327697754,0,train
21900,11.572571754455566,0,train
22200,8.209464073181152,0,train
22500,8.232391357421875,0,train
22800,9.508818626403809,0,train
