dataset,seed,mode,index,val_score,y_val,test_score,y_test
streamspot,42,graph_topo,0,0.174229034781456,1,0.18163617551326752,1
streamspot,42,graph_topo,1,0.6071211278438569,0,0.13954340368509294,0
streamspot,42,graph_topo,2,0.4556246042251587,1,0.17619810104370118,1
streamspot,42,graph_topo,3,0.03390747383236885,0,0.40287030935287477,1
streamspot,42,graph_topo,4,0.049118687957525255,0,0.23873670846223832,0
streamspot,42,graph_topo,5,0.3190056920051575,0,0.20214555859565736,0
streamspot,42,graph_topo,6,0.06375315859913826,0,0.1843855321407318,1
streamspot,42,graph_topo,7,0.1868896245956421,1,0.5315792918205261,1
streamspot,42,graph_topo,8,0.21159982681274414,1,0.16817695796489715,1
streamspot,42,graph_topo,9,0.1782946139574051,1,0.18668480813503266,1
streamspot,42,graph_topo,10,0.25309062004089355,1,0.18022419214248658,1
streamspot,42,graph_topo,11,0.0338260930031538,0,0.17207023203372956,1
streamspot,42,graph_topo,12,0.2741778939962387,0,0.17669379711151123,1
streamspot,42,graph_topo,13,0.23338676989078522,0,0.20048632919788362,1
streamspot,42,graph_topo,14,0.7197206735610961,0,0.2766088008880615,0
streamspot,42,graph_topo,15,0.7777169346809387,0,0.039613097161054614,0
streamspot,42,graph_topo,16,0.06564256623387336,0,0.08156734593212604,0
streamspot,42,graph_topo,17,0.628426319360733,0,0.048556555062532425,0
streamspot,42,graph_topo,18,0.020564445294439793,0,0.1859000265598297,1
streamspot,42,graph_topo,19,0.038105811551213266,0,0.1705874025821686,1
streamspot,42,graph_topo,20,0.17479084432125092,1,0.19553351998329163,0
streamspot,42,graph_topo,21,0.6335608124732971,1,0.03181728534400463,0
streamspot,42,graph_topo,22,0.19172294735908507,1,0.23544150590896606,0
streamspot,42,graph_topo,23,0.1218244694173336,0,0.028347354754805563,0
streamspot,42,graph_topo,24,0.18718393445014953,1,0.02050174046307802,0
streamspot,42,graph_topo,25,0.20439192652702332,1,0.17293085753917695,1
streamspot,42,graph_topo,26,0.06034256964921951,0,0.5695829033851624,0
streamspot,42,graph_topo,27,0.17428517788648606,0,0.18053197264671325,1
streamspot,42,graph_topo,28,0.18883805871009826,1,0.19980848133563994,1
streamspot,42,graph_topo,29,0.04956685528159142,0,0.574763822555542,1
streamspot,42,graph_topo,30,0.09901574850082398,0,0.10145742073655128,0
streamspot,42,graph_topo,31,0.17272742092609406,1,0.5431832432746887,1
streamspot,42,graph_topo,32,0.191025909781456,1,0.027221109718084335,0
streamspot,42,graph_topo,33,0.17780817449092864,1,0.7349995017051697,1
streamspot,42,graph_topo,34,0.26032154858112333,1,0.3755373865365982,0
streamspot,42,graph_topo,35,0.6634804546833039,1,0.18045563995838165,1
streamspot,42,graph_topo,36,0.1968053996562958,1,0.19139983355998993,1
streamspot,42,graph_topo,37,0.19124341607093812,1,0.2108465850353241,1
streamspot,42,graph_topo,38,0.18063161745667458,0,0.07080470323562622,0
streamspot,42,graph_topo,39,0.24996549487113953,1,0.19309383034706115,1
streamspot,42,graph_topo,40,,,0.18911847472190857,1
streamspot,42,graph_topo,41,,,0.18269093930721284,1
streamspot,42,graph_topo,42,,,0.29587578773498535,0
