dataset,train_ratio,seed,model,index,val_score,y_val,test_score,y_test
NF-BoT-IoT,0.25,42,topogcl,0,0.26475679874420166,1,0.46294155716896057,1
NF-BoT-IoT,0.25,42,topogcl,1,0.5353765487670898,1,0.3860727846622467,1
NF-BoT-IoT,0.25,42,topogcl,2,0.28846776485443115,1,0.49912840127944946,1
NF-BoT-IoT,0.25,42,topogcl,3,1.0691239833831787,1,0.5641695857048035,1
NF-BoT-IoT,0.25,42,topogcl,4,0.8023055791854858,0,0.515745997428894,1
NF-BoT-IoT,0.25,42,topogcl,5,1.290840744972229,1,0.35999009013175964,1
NF-BoT-IoT,0.25,42,topogcl,6,0.672719419002533,1,0.8140475749969482,1
NF-BoT-IoT,0.25,42,topogcl,7,0.5359371900558472,1,0.5295805335044861,1
NF-BoT-IoT,0.25,42,topogcl,8,0.643706202507019,1,0.5383008718490601,1
NF-BoT-IoT,0.25,42,topogcl,9,0.42331305146217346,1,0.5303195118904114,0
NF-BoT-IoT,0.25,42,topogcl,10,3.536064386367798,1,0.28584280610084534,1
NF-BoT-IoT,0.25,42,topogcl,11,0.5364037752151489,0,0.538823664188385,0
NF-BoT-IoT,0.25,42,topogcl,12,0.7539289593696594,1,0.5020609498023987,1
NF-BoT-IoT,0.25,42,topogcl,13,0.5238329172134399,1,0.7948148250579834,1
NF-BoT-IoT,0.25,42,topogcl,14,1.1020398139953613,1,0.21449102461338043,1
NF-BoT-IoT,0.25,42,topogcl,15,0.5253232717514038,0,0.988070547580719,1
NF-BoT-IoT,0.25,42,topogcl,16,0.5534950494766235,0,0.7371054887771606,1
NF-BoT-IoT,0.25,42,topogcl,17,0.532136857509613,0,1.5171661376953125,1
NF-BoT-IoT,0.25,42,topogcl,18,0.4961477220058441,1,0.5381569862365723,1
NF-BoT-IoT,0.25,42,topogcl,19,0.5291718244552612,1,0.6279463768005371,1
NF-BoT-IoT,0.25,42,topogcl,20,1.0035291910171509,1,0.5836661458015442,1
NF-BoT-IoT,0.25,42,topogcl,21,0.3895769417285919,0,1.581284761428833,1
NF-BoT-IoT,0.25,42,topogcl,22,0.35947439074516296,1,0.5989221930503845,0
NF-BoT-IoT,0.25,42,topogcl,23,0.6051239967346191,0,0.5339577198028564,1
NF-BoT-IoT,0.25,42,topogcl,24,0.5390881896018982,1,0.5432326197624207,0
NF-BoT-IoT,0.25,42,topogcl,25,0.4956611096858978,1,0.6943070292472839,1
NF-BoT-IoT,0.25,42,topogcl,26,1.0491644144058228,1,0.35799792408943176,1
NF-BoT-IoT,0.25,42,topogcl,27,2.0771217346191406,1,0.49870094656944275,1
NF-BoT-IoT,0.25,42,topogcl,28,0.5394315719604492,1,0.526901364326477,0
NF-BoT-IoT,0.25,42,topogcl,29,0.43693673610687256,1,0.6250991225242615,1
NF-BoT-IoT,0.25,42,topogcl,30,0.5262353420257568,1,2.465646743774414,1
NF-BoT-IoT,0.25,42,topogcl,31,0.5297905206680298,1,0.63694828748703,1
NF-BoT-IoT,0.25,42,topogcl,32,0.6244542002677917,1,0.5037007331848145,1
NF-BoT-IoT,0.25,42,topogcl,33,0.5031141042709351,1,0.8825355172157288,1
NF-BoT-IoT,0.25,42,topogcl,34,0.4528394937515259,1,0.5303423404693604,1
NF-BoT-IoT,0.25,42,topogcl,35,0.5611311197280884,1,0.4160928428173065,1
NF-BoT-IoT,0.25,42,topogcl,36,0.8421582579612732,0,0.5894865989685059,1
NF-BoT-IoT,0.25,42,topogcl,37,0.5301313996315002,1,0.5387147665023804,1
NF-BoT-IoT,0.25,42,topogcl,38,0.9710606932640076,1,1.152748703956604,1
NF-BoT-IoT,0.25,42,topogcl,39,0.5534950494766235,0,0.5536516308784485,0
NF-BoT-IoT,0.25,42,topogcl,40,0.770806610584259,1,0.5937407612800598,1
NF-BoT-IoT,0.25,42,topogcl,41,0.5526972413063049,0,0.5358650088310242,1
NF-BoT-IoT,0.25,42,topogcl,42,0.6333141326904297,0,0.3859444856643677,0
NF-BoT-IoT,0.25,42,topogcl,43,0.54200279712677,1,0.3067932426929474,0
NF-BoT-IoT,0.25,42,topogcl,44,3.0859522819519043,1,0.6751549243927002,1
NF-BoT-IoT,0.25,42,topogcl,45,0.25328418612480164,1,0.5093235373497009,0
NF-BoT-IoT,0.25,42,topogcl,46,0.5169049501419067,1,4.4431610107421875,1
NF-BoT-IoT,0.25,42,topogcl,47,0.5832091569900513,1,0.2555370032787323,1
NF-BoT-IoT,0.25,42,topogcl,48,0.11907245963811874,1,0.3405059278011322,1
NF-BoT-IoT,0.25,42,topogcl,49,0.5251325964927673,1,1.4048895835876465,1
NF-BoT-IoT,0.25,42,topogcl,50,0.5383324027061462,1,0.6488547921180725,1
NF-BoT-IoT,0.25,42,topogcl,51,2.059213638305664,1,0.5292606949806213,1
NF-BoT-IoT,0.25,42,topogcl,52,0.5479044318199158,1,1.0650683641433716,1
NF-BoT-IoT,0.25,42,topogcl,53,0.43242278695106506,1,0.5387371778488159,0
NF-BoT-IoT,0.25,42,topogcl,54,0.581523597240448,1,0.5356388688087463,0
NF-BoT-IoT,0.25,42,topogcl,55,0.9592297077178955,1,0.5294420123100281,1
NF-BoT-IoT,0.25,42,topogcl,56,2.181333065032959,1,0.6217880845069885,1
NF-BoT-IoT,0.25,42,topogcl,57,0.5385244488716125,1,0.5407546162605286,1
NF-BoT-IoT,0.25,42,topogcl,58,0.943906307220459,1,0.5735717415809631,1
NF-BoT-IoT,0.25,42,topogcl,59,0.5397149920463562,0,0.5281482934951782,0
NF-BoT-IoT,0.25,42,topogcl,60,0.5252586603164673,1,0.5760993361473083,1
NF-BoT-IoT,0.25,42,topogcl,61,0.5199127793312073,1,0.5628652572631836,1
NF-BoT-IoT,0.25,42,topogcl,62,0.5680835247039795,1,0.6406611204147339,1
NF-BoT-IoT,0.25,42,topogcl,63,0.5364755392074585,1,0.25417739152908325,1
NF-BoT-IoT,0.25,42,topogcl,64,1.0756264925003052,1,1.5171633958816528,1
NF-BoT-IoT,0.25,42,topogcl,65,0.3965837061405182,1,0.6032031178474426,0
NF-BoT-IoT,0.25,42,topogcl,66,0.648749828338623,1,0.5374210476875305,1
NF-BoT-IoT,0.25,42,topogcl,67,0.5369683504104614,1,0.6339378952980042,1
